"Date","Time_ET","Kind","Content","MediaURL"
"2026-08-01","06:30","text","A green candle isn't ""good"" and a red candle isn't ""bad."" Each one just tells you who won that round — buyers or sellers. Learn to read them and the chart stops being scary.

💬 What confuses you most about candles?",""
"2026-08-01","08:30","photo","What is this candle telling you? 🕯️

Every candle tells a story:
• Body = open price → close price
• Wick (the tail) = the highest/lowest price it touched
• Green = price went up 🟢 | Red = price went down 🔴

Learn this and you can read ANY chart.

📌 Save this so you never forget when you open a chart!

#XAUUSD #gold #forex #goldtrading #tradingbasics","https://raw.githubusercontent.com/buithithuytrinhfamily-sketch/rex-trading-blog/claude/facebook-channel-scheduling-29clrd/facebook/infographics/rex_01_anatomy.png"
"2026-08-01","10:30","photo","The one habit that separates traders who last from traders who blow up.

Cut losers fast — that's your stop. Let winners breathe — that's your target.

📌 SAVE this and read it before your next trade.

#XAUUSD #gold #forex #goldtrading","https://raw.githubusercontent.com/buithithuytrinhfamily-sketch/rex-trading-blog/claude/facebook-channel-scheduling-29clrd/facebook/infographics/cards/card01_cut.png"
"2026-08-01","12:30","video","What is this candle telling you? 🕯️

Every candle tells a story:
• Body = open price → close price
• Wick (the tail) = the highest/lowest price it touched
• Green = price went up 🟢 | Red = price went down 🔴

Learn this and you can read ANY chart.

📌 Save this so you never forget when you open a chart!

#XAUUSD #gold #forex #goldtrading #tradingbasics","https://raw.githubusercontent.com/buithithuytrinhfamily-sketch/rex-trading-blog/claude/facebook-channel-scheduling-29clrd/facebook/reels/rex_01_anatomy.mp4"
"2026-08-01","15:00","text","Before any strategy, learn to read a single candle.

• The BODY = where price opened and closed.
• The WICK = how far price tried to go before getting rejected.
• Green closed up, red closed down.

That's it. Master this and every gold chart starts to make sense.

📖 Full breakdown: https://rextradingsignal.com/how-to-manage-risk-in-gold-trading.html
#XAUUSD #gold #priceaction",""
"2026-08-01","17:30","text","Poll 📊 When you see a DOJI, do you:
A) Wait for confirmation
B) Enter anyway
C) Ignore it

Comment A / B / C 👇",""
"2026-08-01","20:00","video","🎬 Candlestick lesson — save this and watch till the end.
📌 SAVE + Follow @REXTradingSignal for the full series.
#XAUUSD #gold #forex #priceaction","https://raw.githubusercontent.com/buithithuytrinhfamily-sketch/rex-trading-blog/claude/facebook-channel-scheduling-29clrd/facebook/reels/long/LV1.mp4"
"2026-08-01","22:00","text","Want a free one-page cheat sheet of the candles + how we actually trade them? 📩

Grab The Trader's Business Plan (free) 👉 https://rextradingsignal.com/business-plan/",""
"2026-08-02","06:30","text","The body shows where price opened and closed. The wick shows how far it tried to go and got rejected. That's the whole candle.

📌 Save this.",""
"2026-08-02","08:30","photo","When a BIG candle completely ""swallows"" the small one before it… 😳

Control just changed hands:
• Big green swallows red → BUYERS win 🟢
• Big red swallows green → SELLERS win 🔴

Strongest when it shows up at support or resistance.

💬 Have you ever traded this pattern? Tell me in the comments!

#XAUUSD #gold #forex #engulfing #priceaction","https://raw.githubusercontent.com/buithithuytrinhfamily-sketch/rex-trading-blog/claude/facebook-channel-scheduling-29clrd/facebook/infographics/rex_02_engulfing.png"
"2026-08-02","10:30","photo","The second you trade what you NEED instead of what you SEE, you've already lost.

Gold doesn't care that you're down this month. Trade the chart in front of you.

🔁 SHARE with a trader who's forcing trades right now.

#XAUUSD #gold #tradingpsychology","https://raw.githubusercontent.com/buithithuytrinhfamily-sketch/rex-trading-blog/claude/facebook-channel-scheduling-29clrd/facebook/infographics/cards/card09_rent.png"
"2026-08-02","12:30","video","When a BIG candle completely ""swallows"" the small one before it… 😳

Control just changed hands:
• Big green swallows red → BUYERS win 🟢
• Big red swallows green → SELLERS win 🔴

Strongest when it shows up at support or resistance.

💬 Have you ever traded this pattern? Tell me in the comments!

#XAUUSD #gold #forex #engulfing #priceaction","https://raw.githubusercontent.com/buithithuytrinhfamily-sketch/rex-trading-blog/claude/facebook-channel-scheduling-29clrd/facebook/reels/rex_02_engulfing.mp4"
"2026-08-02","15:00","text","The engulfing candle is one of the cleanest reversal tells on the chart.

A big body that completely swallows the candle before it means control just changed hands — buyers took over (bullish) or sellers did (bearish). It's strongest at support or resistance, not in the middle of nowhere.

💬 Have you traded this one?
#XAUUSD #gold #engulfing",""
"2026-08-02","17:30","text","What candle pattern do you trust the MOST? 🕯️
Engulfing? Pin bar? Something else?
Comment yours 👇",""
"2026-08-02","20:00","video","🎬 Candlestick lesson — save this and watch till the end.
📌 SAVE + Follow @REXTradingSignal for the full series.
#XAUUSD #gold #forex #priceaction","https://raw.githubusercontent.com/buithithuytrinhfamily-sketch/rex-trading-blog/claude/facebook-channel-scheduling-29clrd/facebook/reels/long/LV2.mp4"
"2026-08-02","22:00","text","Reading candles is step 1. Managing risk is step 2. Our free one-page plan covers both 👉 https://rextradingsignal.com/business-plan/ 📩",""
"2026-08-03","06:30","text","Big body = strong move. Tiny body = indecision. Long wick = a level got rejected hard.

Candles are a language. Start reading it. 💬",""
"2026-08-03","08:30","photo","That long ""tail"" on a candle = a REJECTION 🚫

The longer the tail, the harder price was pushed back:
• Long tail below → buyers rejected lower prices → likely UP
• Long tail above → sellers rejected higher prices → likely DOWN

📌 Save it + send it to a friend who's just starting out!

#XAUUSD #gold #pinbar #priceaction #forex","https://raw.githubusercontent.com/buithithuytrinhfamily-sketch/rex-trading-blog/claude/facebook-channel-scheduling-29clrd/facebook/infographics/rex_03_pinbar.png"
"2026-08-03","10:30","photo","Good trading is boring. One or two clean setups, then you close the laptop.

The traders glued to the screen all day aren't disciplined — they're emotional.

🔁 SHARE if your best trades were your calmest ones.

#XAUUSD #gold #forex #trading","https://raw.githubusercontent.com/buithithuytrinhfamily-sketch/rex-trading-blog/claude/facebook-channel-scheduling-29clrd/facebook/infographics/cards/card10_boring.png"
"2026-08-03","12:30","video","That long ""tail"" on a candle = a REJECTION 🚫

The longer the tail, the harder price was pushed back:
• Long tail below → buyers rejected lower prices → likely UP
• Long tail above → sellers rejected higher prices → likely DOWN

📌 Save it + send it to a friend who's just starting out!

#XAUUSD #gold #pinbar #priceaction #forex","https://raw.githubusercontent.com/buithithuytrinhfamily-sketch/rex-trading-blog/claude/facebook-channel-scheduling-29clrd/facebook/reels/rex_03_pinbar.mp4"
"2026-08-03","15:00","text","A long wick is a story of rejection.

Bullish pin: price dropped, then buyers slammed it back up — they rejected lower prices. Bearish pin: the opposite. The longer the wick, the louder the rejection.

We wait for these at key levels, with a stop loss already set.
#XAUUSD #gold #pinbar",""
"2026-08-03","17:30","text","Real talk: do you actually READ candles, or just follow signals? 😅 No judgment — comment honestly 👇",""
"2026-08-03","20:00","video","🎬 Candlestick lesson — save this and watch till the end.
📌 SAVE + Follow @REXTradingSignal for the full series.
#XAUUSD #gold #forex #priceaction","https://raw.githubusercontent.com/buithithuytrinhfamily-sketch/rex-trading-blog/claude/facebook-channel-scheduling-29clrd/facebook/reels/long/LV3.mp4"
"2026-08-03","22:00","text","The 5 mistakes that quietly bankrupt new gold traders — free guide, just your email 👉 https://rextradingsignal.com/business-plan/",""
"2026-08-04","06:30","text","Beginners stare at indicators. Pros read the raw candles first. Price is the truth — everything else lags.

💬 Indicators or pure price action?",""
"2026-08-04","08:30","photo","This candle means the market is… UNDECIDED 🤔

Open and close are almost the same → nobody won.
Don't rush to buy or sell. WAIT for the next candle to confirm.

Patience beats guessing.

💬 Do you ""wait"" or ""jump in""? Type WAIT or IN below!

#XAUUSD #gold #doji #candlestick #forex","https://raw.githubusercontent.com/buithithuytrinhfamily-sketch/rex-trading-blog/claude/facebook-channel-scheduling-29clrd/facebook/infographics/rex_04_doji.png"
"2026-08-04","10:30","photo","Say it with me: no stop loss = no trade.

The stop isn't admitting defeat — it's the price of staying in the game long enough for your edge to show up.

📌 SAVE this reminder.

#XAUUSD #gold #stoploss #riskmanagement","https://raw.githubusercontent.com/buithithuytrinhfamily-sketch/rex-trading-blog/claude/facebook-channel-scheduling-29clrd/facebook/infographics/cards/card07_nostop.png"
"2026-08-04","12:30","video","This candle means the market is… UNDECIDED 🤔

Open and close are almost the same → nobody won.
Don't rush to buy or sell. WAIT for the next candle to confirm.

Patience beats guessing.

💬 Do you ""wait"" or ""jump in""? Type WAIT or IN below!

#XAUUSD #gold #doji #candlestick #forex","https://raw.githubusercontent.com/buithithuytrinhfamily-sketch/rex-trading-blog/claude/facebook-channel-scheduling-29clrd/facebook/reels/rex_04_doji.mp4"
"2026-08-04","15:00","text","Open ≈ close = the market is undecided.

A doji isn't a buy or a sell on its own — it's a pause. The real move comes from the candle AFTER it. Rushing in on a doji is guessing.

Patience beats guessing, every time.
#XAUUSD #gold #doji",""
"2026-08-04","17:30","text","Which color makes you more emotional when it's YOUR money on the line — green 🟢 or red 🔴? 💬",""
"2026-08-04","20:00","video","🎬 Candlestick lesson — save this and watch till the end.
📌 SAVE + Follow @REXTradingSignal for the full series.
#XAUUSD #gold #forex #priceaction","https://raw.githubusercontent.com/buithithuytrinhfamily-sketch/rex-trading-blog/claude/facebook-channel-scheduling-29clrd/facebook/reels/long/LV4.mp4"
"2026-08-04","22:00","text","Save yourself months of trial and error. Free Trader's Business Plan (one page) 📩 https://rextradingsignal.com/business-plan/",""
"2026-08-05","06:30","text","One clean candle at a key level tells you more than 10 indicators. Simplicity wins.

📌 Save this reminder.",""
"2026-08-05","08:30","photo","The ""floor"" and the ""ceiling"" of price 🏠

• Resistance (ceiling) = where sellers keep stepping in → price struggles to rise
• Support (floor) = where buyers keep defending → price struggles to fall

Price bounces between them. Trade AT the level, not in no-man's-land.

📌 Save this as your compass every time you open a chart!

#XAUUSD #gold #supportresistance #priceaction #forex","https://raw.githubusercontent.com/buithithuytrinhfamily-sketch/rex-trading-blog/claude/facebook-channel-scheduling-29clrd/facebook/infographics/rex_09_sr.png"
"2026-08-05","10:30","photo","'I win 70% of my trades!' Cool — are you profitable? Often, no.

Stop counting how OFTEN you're right. Measure how BIG you win vs how small you lose.

📌 SAVE this.

#XAUUSD #gold #riskreward #forex","https://raw.githubusercontent.com/buithithuytrinhfamily-sketch/rex-trading-blog/claude/facebook-channel-scheduling-29clrd/facebook/infographics/cards/card13_winrate.png"
"2026-08-05","12:30","video","Before you click, draw three lines 📏

• Entry — where you get in
• Stop Loss — the amount you're willing to LOSE
• Take Profit — your target

No stop loss = NO trade.
Capital is oxygen — no oxygen, no next trade.

📖 Read how to set your stop loss right on the blog:
rextradingsignal.com/how-to-manage-risk-in-gold-trading.html

#XAUUSD #gold #riskmanagement #stoploss #forex","https://raw.githubusercontent.com/buithithuytrinhfamily-sketch/rex-trading-blog/claude/facebook-channel-scheduling-29clrd/facebook/reels/rex_05_trade.mp4"
"2026-08-05","15:00","text","Every candle is emotion made visible.

A long green body = greed and confidence. A long lower wick = fear that got rejected. A doji = hesitation. When you read candles, you're reading the crowd's psychology in real time.

Trade the emotion, not your own.
#XAUUSD #gold #tradingpsychology",""
"2026-08-05","17:30","text","🔁 Tag a friend who still thinks a big green candle automatically means ""buy now.""",""
"2026-08-05","20:00","video","🎬 Candlestick lesson — save this and watch till the end.
📌 SAVE + Follow @REXTradingSignal for the full series.
#XAUUSD #gold #forex #priceaction","https://raw.githubusercontent.com/buithithuytrinhfamily-sketch/rex-trading-blog/claude/facebook-channel-scheduling-29clrd/facebook/reels/long/LV5.mp4"
"2026-08-05","22:00","text","Loved this week's candle lessons? Get them + the daily routine in one free PDF 👉 https://rextradingsignal.com/business-plan/",""
"2026-08-06","06:30","text","Green, red, green… it's not random noise. It's a conversation between buyers and sellers. Your job is to listen, not predict.",""
