"Date","Time_ET","Format","Theme","Topic","CTA"
"2026-08-01","06:30","Short post","W1 · Candlesticks & Chart Basics","Three soldiers / crows","💬 Comment"
"2026-08-01","08:30","Image (infographic)","W1 · Candlesticks & Chart Basics","Reading a candle in 10s","📌 Save"
"2026-08-01","10:30","Quote card","W1 · Candlesticks & Chart Basics","Body vs wick meaning","🔁 Share"
"2026-08-01","12:30","Reel (short video)","W1 · Candlesticks & Chart Basics","Marubozu (strong candle)","📌 Save + Follow"
"2026-08-01","15:00","Long post","W1 · Candlesticks & Chart Basics","Inside bar","📖 Read blog / 💬 Comment"
"2026-08-01","17:30","Story / interactive","W1 · Candlesticks & Chart Basics","Candle colors & psychology","💬 Poll / Comment"
"2026-08-01","20:00","Long video","W1 · Candlesticks & Chart Basics","What a candle really is","📌 Save + Follow"
"2026-08-01","22:00","Short post / interactive","W1 · Candlesticks & Chart Basics","Bullish vs bearish body","📩 Email (free plan) / 💬 Comment"
"2026-08-02","06:30","Short post","W1 · Candlesticks & Chart Basics","Wicks = rejection","💬 Comment"
"2026-08-02","08:30","Image (infographic)","W1 · Candlesticks & Chart Basics","Engulfing pattern","📌 Save"
"2026-08-02","10:30","Quote card","W1 · Candlesticks & Chart Basics","Pin bar / rejection candle","🔁 Share"
"2026-08-02","12:30","Reel (short video)","W1 · Candlesticks & Chart Basics","Doji / indecision","📌 Save + Follow"
"2026-08-02","15:00","Long post","W1 · Candlesticks & Chart Basics","Hammer & shooting star","📖 Read blog / 💬 Comment"
"2026-08-02","17:30","Story / interactive","W1 · Candlesticks & Chart Basics","Morning/Evening star","💬 Poll / Comment"
"2026-08-02","20:00","Long video","W1 · Candlesticks & Chart Basics","Three soldiers / crows","📌 Save + Follow"
"2026-08-02","22:00","Short post / interactive","W1 · Candlesticks & Chart Basics","Reading a candle in 10s","📩 Email (free plan) / 💬 Comment"
"2026-08-03","06:30","Short post","W1 · Candlesticks & Chart Basics","Body vs wick meaning","💬 Comment"
"2026-08-03","08:30","Image (infographic)","W1 · Candlesticks & Chart Basics","Marubozu (strong candle)","📌 Save"
"2026-08-03","10:30","Quote card","W1 · Candlesticks & Chart Basics","Inside bar","🔁 Share"
"2026-08-03","12:30","Reel (short video)","W1 · Candlesticks & Chart Basics","Candle colors & psychology","📌 Save + Follow"
"2026-08-03","15:00","Long post","W1 · Candlesticks & Chart Basics","What a candle really is","📖 Read blog / 💬 Comment"
"2026-08-03","17:30","Story / interactive","W1 · Candlesticks & Chart Basics","Bullish vs bearish body","💬 Poll / Comment"
"2026-08-03","20:00","Long video","W1 · Candlesticks & Chart Basics","Wicks = rejection","📌 Save + Follow"
"2026-08-03","22:00","Short post / interactive","W1 · Candlesticks & Chart Basics","Engulfing pattern","📩 Email (free plan) / 💬 Comment"
"2026-08-04","06:30","Short post","W1 · Candlesticks & Chart Basics","Pin bar / rejection candle","💬 Comment"
"2026-08-04","08:30","Image (infographic)","W1 · Candlesticks & Chart Basics","Doji / indecision","📌 Save"
"2026-08-04","10:30","Quote card","W1 · Candlesticks & Chart Basics","Hammer & shooting star","🔁 Share"
"2026-08-04","12:30","Reel (short video)","W1 · Candlesticks & Chart Basics","Morning/Evening star","📌 Save + Follow"
"2026-08-04","15:00","Long post","W1 · Candlesticks & Chart Basics","Three soldiers / crows","📖 Read blog / 💬 Comment"
"2026-08-04","17:30","Story / interactive","W1 · Candlesticks & Chart Basics","Reading a candle in 10s","💬 Poll / Comment"
"2026-08-04","20:00","Long video","W1 · Candlesticks & Chart Basics","Body vs wick meaning","📌 Save + Follow"
"2026-08-04","22:00","Short post / interactive","W1 · Candlesticks & Chart Basics","Marubozu (strong candle)","📩 Email (free plan) / 💬 Comment"
"2026-08-05","06:30","Short post","W1 · Candlesticks & Chart Basics","Inside bar","💬 Comment"
"2026-08-05","08:30","Image (infographic)","W1 · Candlesticks & Chart Basics","Candle colors & psychology","📌 Save"
"2026-08-05","10:30","Quote card","W1 · Candlesticks & Chart Basics","What a candle really is","🔁 Share"
"2026-08-05","12:30","Reel (short video)","W1 · Candlesticks & Chart Basics","Bullish vs bearish body","📌 Save + Follow"
"2026-08-05","15:00","Long post","W1 · Candlesticks & Chart Basics","Wicks = rejection","📖 Read blog / 💬 Comment"
"2026-08-05","17:30","Story / interactive","W1 · Candlesticks & Chart Basics","Engulfing pattern","💬 Poll / Comment"
"2026-08-05","20:00","Long video","W1 · Candlesticks & Chart Basics","Pin bar / rejection candle","📌 Save + Follow"
"2026-08-05","22:00","Short post / interactive","W1 · Candlesticks & Chart Basics","Doji / indecision","📩 Email (free plan) / 💬 Comment"
"2026-08-06","06:30","Short post","W1 · Candlesticks & Chart Basics","Hammer & shooting star","💬 Comment"
"2026-08-06","08:30","Image (infographic)","W1 · Candlesticks & Chart Basics","Morning/Evening star","📌 Save"
"2026-08-06","10:30","Quote card","W1 · Candlesticks & Chart Basics","Three soldiers / crows","🔁 Share"
"2026-08-06","12:30","Reel (short video)","W1 · Candlesticks & Chart Basics","Reading a candle in 10s","📌 Save + Follow"
"2026-08-06","15:00","Long post","W1 · Candlesticks & Chart Basics","Body vs wick meaning","📖 Read blog / 💬 Comment"
"2026-08-06","17:30","Story / interactive","W1 · Candlesticks & Chart Basics","Marubozu (strong candle)","💬 Poll / Comment"
"2026-08-06","20:00","Long video","W1 · Candlesticks & Chart Basics","Inside bar","📌 Save + Follow"
"2026-08-06","22:00","Short post / interactive","W1 · Candlesticks & Chart Basics","Candle colors & psychology","📩 Email (free plan) / 💬 Comment"
"2026-08-07","06:30","Short post","W1 · Candlesticks & Chart Basics","What a candle really is","💬 Comment"
"2026-08-07","08:30","Image (infographic)","W1 · Candlesticks & Chart Basics","Bullish vs bearish body","📌 Save"
